mt,ks,0,0
mt,ts,3,4,24,8,0
mt,st,444444,0
pc,0,32,0
pc,0,0,0
pc,0,0,0
cc,0,7,127,0
cc,0,7,100,0
non,0,50,68,1256
non,0,62,71,20
non,0,59,74,8
non,0,67,80,164
non,0,55,53,16
non,0,50,0,4
non,0,46,47,4
non,0,71,102,0
non,0,59,0,4
non,0,62,0,0
non,0,53,74,36
non,0,57,73,8
non,0,62,51,0
non,0,59,71,8
non,0,60,56,8
non,0,59,0,72
non,0,60,0,0
non,0,57,0,184
non,0,53,0,16
non,0,62,0,8
non,0,57,86,24
non,0,59,77,0
non,0,62,81,8
non,0,53,83,8
non,0,64,52,0
non,0,64,0,24
non,0,57,0,24
non,0,59,0,0
non,0,53,0,16
non,0,62,0,0
non,0,46,0,24
non,0,46,49,40
non,0,55,0,256
non,0,62,47,0
non,0,64,66,152
non,0,46,0,8
non,0,62,0,16
non,0,46,57,32
non,0,62,33,232
non,0,46,0,8
non,0,64,0,8
non,0,46,57,24
non,0,46,0,72
non,0,46,59,72
non,0,62,0,0
non,0,65,71,0
non,0,46,0,456
non,0,46,55,48
non,0,62,41,312
non,0,65,0,0
non,0,53,45,16
non,0,46,0,96
non,0,64,62,56
non,0,46,50,8
non,0,57,68,0
non,0,62,0,0
non,0,71,0,28
non,0,67,0,208
non,0,59,69,16
non,0,46,0,20
non,0,62,87,0
non,0,59,62,16
non,0,62,34,8
non,0,46,47,16
non,0,64,0,0
non,0,46,0,80
non,0,67,69,48
non,0,53,0,8
non,0,55,67,0
non,0,59,0,0
non,0,71,89,12
non,0,46,73,4
non,0,57,0,0
non,0,62,0,0
non,0,62,0,4
non,0,59,0,16
non,0,57,81,4
non,0,53,85,8
non,0,59,92,0
non,0,62,82,8
non,0,72,71,108
non,0,69,54,16
non,0,71,0,0
non,0,67,0,20
non,0,67,48,124
non,0,69,0,16
non,0,71,92,0
non,0,53,0,12
non,0,57,0,0
non,0,59,0,0
non,0,62,0,0
non,0,72,0,0
non,0,57,96,16
non,0,53,94,16
non,0,59,98,0
non,0,62,88,0
non,0,57,0,56
non,0,46,0,8
non,0,59,0,0
